"data","memoria","cpu"
"01/20/2021 12:10:24","79.3","4.6"
"01/20/2021 12:10:54","79.6","9.5"
"01/20/2021 12:11:24","79.1","7.4"
"01/20/2021 12:11:54","79.3","8.3"
"01/20/2021 12:12:24","79.2","6.4"
"01/20/2021 12:12:54","79.3","9.8"
"01/20/2021 12:13:24","79.5","8.8"
"01/20/2021 12:13:54","79.6","12.9"
"01/20/2021 12:14:24","79.8","16.8"
"01/20/2021 12:14:54","81.3","18.3"
"01/20/2021 12:15:24","81.0","7.3"
"01/20/2021 12:15:54","80.5","14.6"
"01/20/2021 12:16:24","81.6","17.8"
"01/20/2021 12:16:54","81.2","7.7"
"01/20/2021 12:17:24","81.5","6.6"
"01/20/2021 12:17:55","81.5","7.6"
"01/20/2021 12:18:25","81.5","6.7"
"01/20/2021 12:18:55","81.4","7.9"
"01/20/2021 12:19:25","81.5","5.6"
"01/20/2021 12:19:55","81.3","10.4"
"01/20/2021 12:20:25","81.4","6.8"
"01/20/2021 12:20:55","82.5","8.1"
"01/20/2021 12:21:25","81.2","7.0"
"01/20/2021 12:21:55","81.3","15.2"
"01/20/2021 12:22:25","81.5","9.6"
"01/20/2021 12:22:55","81.3","11.3"
"01/20/2021 12:23:25","81.4","11.7"
"01/20/2021 12:23:55","81.4","6.7"
"01/20/2021 12:24:25","81.4","11.4"
"01/20/2021 12:24:55","81.3","8.7"
"01/20/2021 12:25:25","81.4","11.1"
"01/20/2021 12:25:55","81.4","10.0"
"01/20/2021 12:26:25","81.3","10.3"
"01/20/2021 12:26:55","81.2","8.1"
"01/20/2021 12:27:25","81.2","9.4"
"01/20/2021 12:27:55","81.1","7.4"
"01/20/2021 12:28:25","81.1","14.5"
"01/20/2021 12:28:55","81.1","12.4"
"01/20/2021 12:29:25","81.4","19.5"
"01/20/2021 12:29:55","81.3","15.9"
"01/20/2021 12:30:25","81.8","21.7"
"01/20/2021 12:30:55","81.8","9.9"
"01/20/2021 12:31:25","82.3","5.8"
"01/20/2021 12:31:55","81.5","4.4"
"01/20/2021 12:32:25","81.5","3.7"
"01/20/2021 12:32:55","81.4","5.8"
"01/20/2021 12:33:25","81.3","4.6"
"01/20/2021 12:33:55","81.3","6.0"
"01/20/2021 12:34:25","81.3","3.7"
"01/20/2021 12:34:55","81.3","5.8"
"01/20/2021 12:35:25","81.2","3.8"
"01/20/2021 12:35:56","81.6","7.4"
"01/20/2021 12:36:26","81.3","3.8"
"01/20/2021 12:36:56","81.2","5.7"
"01/20/2021 12:37:26","81.3","4.2"
"01/20/2021 12:37:56","81.3","5.6"
"01/20/2021 12:38:26","81.3","3.9"
"01/20/2021 12:38:56","81.3","6.0"
"01/20/2021 12:39:26","81.3","3.7"
